Geo Point;Geo Shape;Numéro Opération;Adresse (Dénomination opération);Année du financement/agrément;Bailleur social;Nombre total de logements financés;dont nombre de logements PLA I;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissements;Nature de programme;Coord_X_LB93;Coord_Y_LB93
48.8667348821, 2.27808340436;"{""type"": ""Point"", ""coordinates"": [2.278083404359162, 48.86673488207161]}";2181.0;154, AVENUE VICTOR HUGO;2012;RIVP;2;1;0;0;1;construction neuve;;16;logement familial;647041.3185;6863209.332
48.8667348821, 2.27808340436;"{""type"": ""Point"", ""coordinates"": [2.278083404359162, 48.86673488207161]}";2182.0;154, AVENUE VICTOR HUGO;2012;RIVP;9;0;9;0;0;construction neuve;;16;foyer pour personnes handicapées;647041.3185;6863209.332
48.8577113312, 2.40558640868;"{""type"": ""Point"", ""coordinates"": [2.405586408681051, 48.85771133122769]}";2185.0;17-19 RUE COURAT;2012;RIVP;76;0;0;0;76;acquisition conventionnement;;20;logement familial;656386.9923;6862128.019
48.885771644, 2.33264718742;"{""type"": ""Point"", ""coordinates"": [2.332647187422682, 48.88577164402659]}";2195.0;5-7, IMPASSE MARIE BLANCHE;2012;RIVP;8;3;3;0;2;construction neuve;;18;logement familial;651061.824;6865290.875
48.8553141002, 2.40679598732;"{""type"": ""Point"", ""coordinates"": [2.406795987315246, 48.85531410016023]}";2197.0;5-9 RUE PAULINE KERGOMARD;2012;RIVP;47;0;0;0;47;acquisition conventionnement;;20;logement familial;656473.7367;6861860.799
48.8649022185, 2.37421941327;"{""type"": ""Point"", ""coordinates"": [2.374219413270643, 48.86490221854983]}";2201.0;62-62 BIS, RUE OBERKAMPF;2012;RIVP;17;7;8;0;2;construction neuve;;11;logement familial;654091.933;6862945.37
48.8238225587, 2.35185745685;"{""type"": ""Point"", ""coordinates"": [2.351857456851799, 48.82382255869321]}";2205.0;76, RUE DE LA COLONIE;2012;RIVP;1;0;0;0;1;construction neuve;;13;logement familial;652413.9742;6858390.954
48.8951784661, 2.31650811473;"{""type"": ""Point"", ""coordinates"": [2.316508114725767, 48.8951784660778]}";2212.0;97-105 RUE DE LA JONQUIERE;2012;RIVP;103;0;0;0;103;acquisition conventionnement;;17;logement familial;649887.4003;6866346.983
48.8794511349, 2.38795677164;"{""type"": ""Point"", ""coordinates"": [2.387956771638472, 48.87945113489003]}";2214.0;VILLA DES BUTTES CHAUMONT 70BIS-72 RUE BOTZARIS;2012;RIVP;35;0;0;0;35;acquisition conventionnement;;19;logement familial;655112.2423;6864555.212
48.8460491694, 2.32321976784;"{""type"": ""Point"", ""coordinates"": [2.323219767835535, 48.84604916944667]}";2220.0;106, RUE DE VAUGIRARD;2012;SDOMINPRES;2;0;0;0;2;construction neuve;;6;résidence pour étudiants;650332.6542;6860879.943
48.8927291799, 2.34744874946;"{""type"": ""Point"", ""coordinates"": [2.347448749462744, 48.89272917993129]}";2232.0;10-14 RUE BAUDELIQUE;2012;SODEARIF;13;0;0;0;13;construction neuve;;18;établissement d'hébergement pour personnes âgées dépendantes;652153.6176;6866055.443
48.8511871988, 2.27622959643;"{""type"": ""Point"", ""coordinates"": [2.27622959642894, 48.851187198805036]}";2267.0;17, RUE GROS;2013;ELOGIE;6;3;3;0;0;construction neuve;;16;logement familial;646889.4836;6861481.821
48.8396769306, 2.25556616127;"{""type"": ""Point"", ""coordinates"": [2.255566161269912, 48.839676930554006]}";2268.0;3, RUE DU GENERAL ROCQUES;2013;ELOGIE;1;0;1;0;0;acquisition conventionnement;;16;logement familial;645361.172;6860216.103
48.8866612864, 2.38157195122;"{""type"": ""Point"", ""coordinates"": [2.381571951216642, 48.88666128635344]}";2275.0;38, RUE DE LORRAINE;2013;EMMAUS HAB;30;30;0;0;0;construction neuve;;19;foyer pour jeunes travailleurs ou résidence pour jeunes;654650.263;6865360.588
48.8492827539, 2.30889100058;"{""type"": ""Point"", ""coordinates"": [2.308891000577118, 48.84928275389712]}";2276.0;13, AVENUE DE SAXE;2013;EHD;1;0;0;0;1;construction neuve;;7;logement familial;649284.2724;6861248.593
48.8874482717, 2.35958230742;"{""type"": ""Point"", ""coordinates"": [2.359582307418673, 48.88744827169498]}";2281.0;2 BIS CITE DE LA CHAPELLE 41-43, RUE MARX DORMOY;2013;ESPACILHAB;24;0;0;0;24;construction neuve;opération abandonnée;18;établissement d'hébergement pour personnes âgées dépendantes;653038.4924;6865460.95
48.821955088, 2.37212040052;"{""type"": ""Point"", ""coordinates"": [2.372120400515967, 48.82195508802507]}";2287.0;ZAC BEDIER BOUTROUX;2013;GAMBETTA L;85;43;42;0;0;construction neuve;;13;foyer pour jeunes travailleurs ou résidence pour jeunes;653899.9778;6858171.293
48.8720070802, 2.34352736962;"{""type"": ""Point"", ""coordinates"": [2.343527369620458, 48.87200708023554]}";2292.0;1-2, CITE BERGERE;2013;HSF;6;3;3;0;0;construction neuve;;9;logement familial;651846.944;6863753.658
